tipo,n,phi,cantidad_literales_backbone,cantidad_literales_positivos,cantidad_literales_negativos,porcentaje_backbone,porcentaje_positivo_backbone,porcentaje_negativo_backbone,tiempo_extraccion
uncorrelated_similar_weights,5000,24,5000,5000,0,1.0,1.0,0.0,26143
uncorrelated_similar_weights,50,74,50,50,0,1.0,1.0,0.0,1689
uncorrelated_similar_weights,50,0,50,50,0,1.0,1.0,0.0,1856
uncorrelated_similar_weights,1000,74,1000,1000,0,1.0,1.0,0.0,6537
uncorrelated_similar_weights,10000,49,10000,10000,0,1.0,1.0,0.0,50742
weakly_correlated,50,0,50,6,44,1.0,0.12,0.88,2937
weakly_correlated,1000,99,988,987,1,0.988,0.9989878542510121,0.0010121457489878543,39863
weakly_correlated,100,99,97,97,0,0.97,1.0,0.0,3933
weakly_correlated,500,0,500,29,471,1.0,0.058,0.942,65677
weakly_correlated,50,49,50,25,25,1.0,0.5,0.5,47320
weakly_correlated,200,49,200,100,100,1.0,0.5,0.5,33483
weakly_correlated,10000,99,9860,9848,12,0.986,0.9987829614604462,0.0012170385395537525,1884452
weakly_correlated,5000,99,4941,4932,9,0.9882,0.9981785063752276,0.0018214936247723133,426374
weakly_correlated,100,24,90,27,63,0.9,0.3,0.7,67233
weakly_correlated,500,49,500,248,252,1.0,0.496,0.504,82653
weakly_correlated,100,49,98,51,47,0.98,0.5204081632653061,0.47959183673469385,63296
weakly_correlated,1000,49,996,499,497,0.996,0.501004016064257,0.49899598393574296,243051
weakly_correlated,10000,74,10000,6875,3125,1.0,0.6875,0.3125,640723
weakly_correlated,1000,0,995,50,945,0.995,0.05025125628140704,0.949748743718593,104298
weakly_correlated,50,24,50,13,37,1.0,0.26,0.74,10844
weakly_correlated,500,24,500,147,353,1.0,0.294,0.706,68058
weakly_correlated,10000,24,9973,3100,6873,0.9973,0.3108392660182493,0.6891607339817507,3185111
weakly_correlated,10000,0,9968,586,9382,0.9968,0.05878812199036918,0.9412118780096308,3396308
weakly_correlated,200,99,195,195,0,0.975,1.0,0.0,4667
weakly_correlated,10000,49,9926,4981,4945,0.9926,0.5018134193028411,0.498186580697159,8225663
weakly_correlated,200,24,194,60,134,0.97,0.30927835051546393,0.6907216494845361,67944
weakly_correlated,5000,0,4978,291,4687,0.9956,0.05845721173161912,0.9415427882683809,1210978
weakly_correlated,5000,24,4978,1539,3439,0.9956,0.30916030534351147,0.6908396946564885,1974455
weakly_correlated,1000,74,994,688,306,0.994,0.6921529175050302,0.30784708249496984,192308
weakly_correlated,1000,24,1000,295,705,1.0,0.295,0.705,166964
weakly_correlated,100,0,100,7,93,1.0,0.07,0.93,7611
weakly_correlated,200,0,200,12,188,1.0,0.06,0.94,33761
weakly_correlated,200,74,200,138,62,1.0,0.69,0.31,41512
weakly_correlated,5000,49,4990,2507,2483,0.998,0.5024048096192385,0.4975951903807615,551101
weakly_correlated,500,74,497,345,152,0.994,0.6941649899396378,0.3058350100603622,92069
weakly_correlated,50,99,48,48,0,0.96,1.0,0.0,2723
weakly_correlated,500,99,490,490,0,0.98,1.0,0.0,21133
weakly_correlated,100,74,93,65,28,0.93,0.6989247311827957,0.3010752688172043,31341
weakly_correlated,50,74,50,33,17,1.0,0.66,0.34,34989
weakly_correlated,5000,74,5000,3448,1552,1.0,0.6896,0.3104,449367
